Pore Volume of Water Injected,Pore Volume of Oil Produced,WaterCut,n,m,,
0.1,0,0,1.5,7,1,
0.2,0.02345,-0.82497,1.5,7,,
0.3,0.10994,-0.89346,1.5,7,,
0.4,0.14279,-0.00705,1.5,7,,
0.5,0.14329,-0.00314,1.5,7,,
0.6,0.1435,-0.00136,1.5,7,,
0.7,0.14357,-0.00015,1.5,7,,
0.8,0.14355,0.00062,1.5,7,,
0.9,0.14346,0.00114,1.5,7,,
1,0.14332,0.00147,1.5,7,,
1.1,0.14317,0.00171,1.5,7,,
1.2,0.14299,0.00189,1.5,7,,
1.3,0.14278,0.00202,1.5,7,,
1.4,0.14258,0.0021,1.5,7,,
1.5,0.14238,0.00215,1.5,7,,
1.6,0.14215,0.00219,1.5,7,,
1.7,0.14194,0.00222,1.5,7,,
1.8,0.14171,0.00222,1.5,7,,
1.9,0.14148,0.00222,1.5,7,,
2,0.14127,0.00223,1.5,7,,
2.1,0.14105,0.00221,1.5,7,,
2.2,0.14083,0.00221,1.5,7,,
2.3,0.14061,0.00219,1.5,7,,
2.4,0.14039,0.00217,1.5,7,,
2.5,0.14017,0.00215,1.5,7,,
2.6,0.13995,0.00213,1.5,7,,
2.7,0.13974,0.0021,1.5,7,,
2.8,0.13953,0.00208,1.5,7,,
2.9,0.13933,0.00206,1.5,7,,
3,0.13913,0.00204,1.5,7,,
3.1,0.13892,0.00202,1.5,7,,
3.2,0.13873,0.002,1.5,7,,
3.3,0.13853,0.00197,1.5,7,,
3.4,0.13834,0.00195,1.5,7,,
3.5,0.13814,0.00192,1.5,7,,
3.6,0.13795,0.00191,1.5,7,,
3.7,0.13777,0.00188,1.5,7,,
3.8,0.13758,0.00185,1.5,7,,
3.9,0.13738,0.00182,1.5,7,,
4,0.13721,0.0018,1.5,7,,
4.1,0.13702,0.00178,1.5,7,,
4.2,0.13685,0.00176,1.5,7,,
4.3,0.13667,0.00174,1.5,7,,
4.4,0.1365,0.00172,1.5,7,,
4.5,0.13634,0.0017,1.5,7,,
4.6,0.13617,0.00168,1.5,7,,
